,95% Confidence Interval,Permutation Paired Sample T-Test p-value ,Effect Size: Hedges' g,Error Rate,Power 
Class 1 Overall ,-0.07 to 1.41,0.035,0.67,0.48,0.45
Class 2 Overall,-0.29 to 1.64,0.125,0.68,0.49,0.3
Class 1 Macro,-0.21 to 1.26,0.092,0.52,0.48,0.3
Class 2 Macro,-0.29 to 1.64,0.125,0.68,0.47,0.3
