,95% Confidence Interval,Permutation Paired Sample t-test p-value ,Effect Size: Cohen's d ,Error Rate,Power 
Overall ,0.13 to 1.28,0.004,0.7,0.47,0.72
Macro,0.04 to 1.18,0.011,0.61,0.47,0.61
