,95% Confidence Interval,t-statistic,p-value,Mean of the Difference
Class 1 Overall,0.11 to 0.89,2.74,0.015,0.5
Class 2 Overall,-0.01 to 1.01,2.24,0.052,0.5
Class 1 Macro,0 to 0.87,2.15,0.048,0.44
Class 2 Macro,-0.01 to 1.01,2.24,0.052,0.5
