,95% Confidence Interval,t-statistic,p-value,Mean of the Difference
Overall,0.21 to 0.79,3.61,0.001,0.5
Macro,0.15 to 0.77,3.09,0.005,0.46
Mid ,0.13 to 0.52,1.22,0.232,0.19
Micro,0.13 to 0.52,1.22,0.232,0.19
